governor,state,year,party
Nelson Aldrich Rockefeller,New York,1961,Republican
James Terry Sanford,North Carolina,1961,Democrat
William Lewis Guy,North Dakota,1961,Democrat
Michael Vincent DiSalle,Ohio,1961,Democrat
James Howard Edmondson,Oklahoma,1961,Democrat
Mark Odom Hatfield,Oregon,1961,Republican
David Leo Lawrence,Pennsylvania,1961,Democrat
John A. Notte,Rhode Island,1961,Democrat
Ernest Frederick Hollings,South Carolina,1961,Democrat
Archie Gubbrud,South Dakota,1961,Republican
Earl Buford Ellington,Tennessee,1961,Democrat
Price Daniel,Texas,1961,Democrat
George Dewey Clyde,Utah,1961,Republican
F. Ray Keyser,Vermont,1961,Republican
Ralph M. Paiewonsky,Virgin Islands,1961,Democrat
James Lindsay Almond,Virginia,1961,Democrat
Albert Dean Rosellini,Washington,1961,Democrat
William W. Barron,West Virginia,1961,Democrat
Gaylord Anton Nelson,Wisconsin,1961,Democrat
Jack Robert Gage,Wyoming,1961,Democrat
John Malcolm Patterson,Alabama,1960,Democrat
William Allen Egan,Alaska,1960,Democrat
Paul Jones Fannin,Arizona,1960,Republican
Orval Eugene Faubus,Arkansas,1960,Democrat
Edmund Gerald Brown,California,1960,Democrat
Stephen Lucid Robert McNichols,Colorado,1960,Democrat
Abraham Alexander Ribicoff,Connecticut,1960,Democrat
David Penrose Buckson,Delaware,1960,Republican
Thomas Leroy Collins,Florida,1960,Democrat
Samuel Ernest Vandiver,Georgia,1960,Democrat
William Francis Quinn,Hawaii,1960,Republican
Robert E. Smylie,Idaho,1960,Republican
William Grant Stratton,Illinois,1960,Republican
Harold Willis Handley,Indiana,1960,Republican
Herschel C. Loveless,Iowa,1960,Democrat
George Docking,Kansas,1960,Democrat
Bert Thomas Combs,Kentucky,1960,Democrat
James Houston Davis,Louisiana,1960,Democrat
John Hathaway Reed,Maine,1960,Republican
J. Millard Tawes,Maryland,1960,Democrat
Foster John Furcolo,Massachusetts,1960,Democrat
Gerhard Mennen Williams,Michigan,1960,Democrat
Orville Lothrop Freeman,Minnesota,1960,Democrat
Ross Robert Barnett,Mississippi,1960,Democrat
James Thomas Blair,Missouri,1960,Democrat
John Hugo Aronson,Montana,1960,Republican
Dwight Willard Burney,Nebraska,1960,Republican
Grant Sawyer,Nevada,1960,Democrat
Wesley Powell,New Hampshire,1960,Republican
Robert Baumie Meyner,New Jersey,1960,Democrat
John Burroughs,New Mexico,1960,Democrat
Nelson Aldrich Rockefeller,New York,1960,Republican
Luther Hartwell Hodges,North Carolina,1960,Democrat
John Edward Davis,North Dakota,1960,Republican
Michael Vincent DiSalle,Ohio,1960,Democrat
James Howard Edmondson,Oklahoma,1960,Democrat
Mark Odom Hatfield,Oregon,1960,Republican
David Leo Lawrence,Pennsylvania,1960,Democrat
Christopher Del Sesto,Rhode Island,1960,Republican
Ernest Frederick Hollings,South Carolina,1960,Democrat
Ralph E. Herseth,South Dakota,1960,Democrat
Earl Buford Ellington,Tennessee,1960,Democrat
Price Daniel,Texas,1960,Democrat
George Dewey Clyde,Utah,1960,Republican
Robert T. Stafford,Vermont,1960,Republican
James Lindsay Almond,Virginia,1960,Democrat
Albert Dean Rosellini,Washington,1960,Democrat
Cecil H. Underwood,West Virginia,1960,Republican
Gaylord Anton Nelson,Wisconsin,1960,Democrat
John Joseph Hickey,Wyoming,1960,Democrat
John Malcolm Patterson,Alabama,1959,Democrat
William Allen Egan,Alaska,1959,Democrat
Paul Jones Fannin,Arizona,1959,Republican
Orval Eugene Faubus,Arkansas,1959,Democrat
Edmund Gerald Brown,California,1959,Democrat
Stephen Lucid Robert McNichols,Colorado,1959,Democrat
Abraham Alexander Ribicoff,Connecticut,1959,Democrat
James Caleb Boggs,Delaware,1959,Republican
Thomas Leroy Collins,Florida,1959,Democrat
Samuel Ernest Vandiver,Georgia,1959,Democrat
William Francis Quinn,Hawaii,1959,Republican
Robert E. Smylie,Idaho,1959,Republican
William Grant Stratton,Illinois,1959,Republican
Harold Willis Handley,Indiana,1959,Republican
Herschel C. Loveless,Iowa,1959,Democrat
George Docking,Kansas,1959,Democrat
Bert Thomas Combs,Kentucky,1959,Democrat
Earl Kemp Long,Louisiana,1959,Democrat
John Hathaway Reed,Maine,1959,Republican
J. Millard Tawes,Maryland,1959,Democrat
Foster John Furcolo,Massachusetts,1959,Democrat
Gerhard Mennen Williams,Michigan,1959,Democrat
Orville Lothrop Freeman,Minnesota,1959,Democrat
James Plemon Coleman,Mississippi,1959,Democrat
James Thomas Blair,Missouri,1959,Democrat
John Hugo Aronson,Montana,1959,Republican
Ralph Gilmour Brooks,Nebraska,1959,Democrat
Grant Sawyer,Nevada,1959,Democrat
Wesley Powell,New Hampshire,1959,Republican
Robert Baumie Meyner,New Jersey,1959,Democrat
John Burroughs,New Mexico,1959,Democrat
Nelson Aldrich Rockefeller,New York,1959,Republican
Luther Hartwell Hodges,North Carolina,1959,Democrat
John Edward Davis,North Dakota,1959,Republican
Michael Vincent DiSalle,Ohio,1959,Democrat
James Howard Edmondson,Oklahoma,1959,Democrat
Mark Odom Hatfield,Oregon,1959,Republican
David Leo Lawrence,Pennsylvania,1959,Democrat
Christopher Del Sesto,Rhode Island,1959,Republican
Ernest Frederick Hollings,South Carolina,1959,Democrat
Ralph E. Herseth,South Dakota,1959,Democrat
Earl Buford Ellington,Tennessee,1959,Democrat
Price Daniel,Texas,1959,Democrat
George Dewey Clyde,Utah,1959,Republican
Robert T. Stafford,Vermont,1959,Republican
James Lindsay Almond,Virginia,1959,Democrat
Albert Dean Rosellini,Washington,1959,Democrat
Cecil H. Underwood,West Virginia,1959,Republican
Gaylord Anton Nelson,Wisconsin,1959,Democrat
John Joseph Hickey,Wyoming,1959,Democrat
James Elisha Folsom,Alabama,1958,Democrat
Ernest William McFarland,Arizona,1958,Democrat
Orval Eugene Faubus,Arkansas,1958,Democrat
Goodwin Jess Knight,California,1958,Republican
Stephen Lucid Robert McNichols,Colorado,1958,Democrat
Abraham Alexander Ribicoff,Connecticut,1958,Democrat
James Caleb Boggs,Delaware,1958,Republican
Thomas Leroy Collins,Florida,1958,Democrat
Samuel Marvin Griffin,Georgia,1958,Democrat
William Francis Quinn,Hawaii,1958,Republican
Robert E. Smylie,Idaho,1958,Republican
William Grant Stratton,Illinois,1958,Republican
Harold Willis Handley,Indiana,1958,Republican
Herschel C. Loveless,Iowa,1958,Democrat
George Docking,Kansas,1958,Democrat
Albert Benjamin Chandler,Kentucky,1958,Democrat
Earl Kemp Long,Louisiana,1958,Democrat
Edmund Sixtus Muskie,Maine,1958,Democrat
Theodore Roosevelt McKeldin,Maryland,1958,Republican
Foster John Furcolo,Massachusetts,1958,Democrat
Gerhard Mennen Williams,Michigan,1958,Democrat
Orville Lothrop Freeman,Minnesota,1958,Democrat
James Plemon Coleman,Mississippi,1958,Democrat
James Thomas Blair,Missouri,1958,Democrat
John Hugo Aronson,Montana,1958,Republican
Victor Emanuel Anderson,Nebraska,1958,Republican
Charles Hinton Russell,Nevada,1958,Republican
Lane Dwinell,New Hampshire,1958,Republican
Robert Baumie Meyner,New Jersey,1958,Democrat
Edwin Leard Mechem,New Mexico,1958,Republican
William Averell Harriman,New York,1958,Democrat
Luther Hartwell Hodges,North Carolina,1958,Democrat
John Edward Davis,North Dakota,1958,Republican
Crane William O'Neill,Ohio,1958,Republican
Raymond Dancel Gary,Oklahoma,1958,Democrat
Robert Denison Holmes,Oregon,1958,Democrat
George Michael Leader,Pennsylvania,1958,Democrat
Dennis Joseph Roberts,Rhode Island,1958,Democrat
George Bell Timmerman,South Carolina,1958,Democrat
Joseph Jacob Foss,South Dakota,1958,Republican
Frank Goad Clement,Tennessee,1958,Democrat
Price Daniel,Texas,1958,Democrat
George Dewey Clyde,Utah,1958,Republican
Joseph Blaine Johnson,Vermont,1958,Republican
James Lindsay Almond,Virginia,1958,Democrat
Albert Dean Rosellini,Washington,1958,Democrat
Cecil H. Underwood,West Virginia,1958,Republican
Vernon W. Thomson,Wisconsin,1958,Republican
Milward L. Simpson,Wyoming,1958,Republican
James Elisha Folsom,Alabama,1957,Democrat
Ernest William McFarland,Arizona,1957,Democrat
Orval Eugene Faubus,Arkansas,1957,Democrat
Goodwin Jess Knight,California,1957,Republican
Stephen Lucid Robert McNichols,Colorado,1957,Democrat
Abraham Alexander Ribicoff,Connecticut,1957,Democrat
James Caleb Boggs,Delaware,1957,Republican
Thomas Leroy Collins,Florida,1957,Democrat
Samuel Marvin Griffin,Georgia,1957,Democrat
William Francis Quinn,Hawaii,1957,Republican
Robert E. Smylie,Idaho,1957,Republican
William Grant Stratton,Illinois,1957,Republican
Harold Willis Handley,Indiana,1957,Republican
Herschel C. Loveless,Iowa,1957,Democrat
George Docking,Kansas,1957,Democrat
Albert Benjamin Chandler,Kentucky,1957,Democrat
Earl Kemp Long,Louisiana,1957,Democrat
Edmund Sixtus Muskie,Maine,1957,Democrat
Theodore Roosevelt McKeldin,Maryland,1957,Republican
Foster John Furcolo,Massachusetts,1957,Democrat
Gerhard Mennen Williams,Michigan,1957,Democrat
Orville Lothrop Freeman,Minnesota,1957,Democrat
James Plemon Coleman,Mississippi,1957,Democrat
James Thomas Blair,Missouri,1957,Democrat
John Hugo Aronson,Montana,1957,Republican
Victor Emanuel Anderson,Nebraska,1957,Republican
Charles Hinton Russell,Nevada,1957,Republican
Lane Dwinell,New Hampshire,1957,Republican
Robert Baumie Meyner,New Jersey,1957,Democrat
Edwin Leard Mechem,New Mexico,1957,Republican
William Averell Harriman,New York,1957,Democrat
Luther Hartwell Hodges,North Carolina,1957,Democrat
John Edward Davis,North Dakota,1957,Republican
Crane William O'Neill,Ohio,1957,Republican
Raymond Dancel Gary,Oklahoma,1957,Democrat
Robert Denison Holmes,Oregon,1957,Democrat
George Michael Leader,Pennsylvania,1957,Democrat
Dennis Joseph Roberts,Rhode Island,1957,Democrat
George Bell Timmerman,South Carolina,1957,Democrat
Joseph Jacob Foss,South Dakota,1957,Republican
Frank Goad Clement,Tennessee,1957,Democrat
Price Daniel,Texas,1957,Democrat
George Dewey Clyde,Utah,1957,Republican
Joseph Blaine Johnson,Vermont,1957,Republican
Thomas Bahnson Stanley,Virginia,1957,Democrat
Albert Dean Rosellini,Washington,1957,Democrat
Cecil H. Underwood,West Virginia,1957,Republican
Vernon W. Thomson,Wisconsin,1957,Republican
Milward L. Simpson,Wyoming,1957,Republican
James Elisha Folsom,Alabama,1956,Democrat
Ernest William McFarland,Arizona,1956,Democrat
Orval Eugene Faubus,Arkansas,1956,Democrat
Goodwin Jess Knight,California,1956,Republican
Edwin Carl Johnson,Colorado,1956,Democrat
Abraham Alexander Ribicoff,Connecticut,1956,Democrat
James Caleb Boggs,Delaware,1956,Republican
Thomas Leroy Collins,Florida,1956,Democrat
Samuel Marvin Griffin,Georgia,1956,Democrat
Robert E. Smylie,Idaho,1956,Republican
William Grant Stratton,Illinois,1956,Republican
George N. Craig,Indiana,1956,Republican
Leo Arthur Hoegh,Iowa,1956,Republican
Frederick Lee Hall,Kansas,1956,Republican
Albert Benjamin Chandler,Kentucky,1956,Democrat
Earl Kemp Long,Louisiana,1956,Democrat
Edmund Sixtus Muskie,Maine,1956,Democrat
Theodore Roosevelt McKeldin,Maryland,1956,Republican
Christian Archibald Herter,Massachusetts,1956,Republican
Gerhard Mennen Williams,Michigan,1956,Democrat
Orville Lothrop Freeman,Minnesota,1956,Democrat
James Plemon Coleman,Mississippi,1956,Democrat
Philip Matthew Donnelly,Missouri,1956,Democrat
John Hugo Aronson,Montana,1956,Republican
Victor Emanuel Anderson,Nebraska,1956,Republican
Charles Hinton Russell,Nevada,1956,Republican
Lane Dwinell,New Hampshire,1956,Republican
Robert Baumie Meyner,New Jersey,1956,Democrat
John Field Simms,New Mexico,1956,Democrat
William Averell Harriman,New York,1956,Democrat
Luther Hartwell Hodges,North Carolina,1956,Democrat
C. Norman Brunsdale,North Dakota,1956,Republican
Frank John Lausche,Ohio,1956,Democrat
Raymond Dancel Gary,Oklahoma,1956,Democrat
Elmo Everett Smith,Oregon,1956,Republican
George Michael Leader,Pennsylvania,1956,Democrat
Dennis Joseph Roberts,Rhode Island,1956,Democrat
George Bell Timmerman,South Carolina,1956,Democrat
Joseph Jacob Foss,South Dakota,1956,Republican
Frank Goad Clement,Tennessee,1956,Democrat
Allan Shivers,Texas,1956,Democrat
Joseph Bracken Lee,Utah,1956,Republican
Joseph Blaine Johnson,Vermont,1956,Republican
Thomas Bahnson Stanley,Virginia,1956,Democrat
Arthur B. Langlie,Washington,1956,Republican
William Casey Marland,West Virginia,1956,Democrat
Walter J. Kohler,Wisconsin,1956,Republican
Milward L. Simpson,Wyoming,1956,Republican
James Elisha Folsom,Alabama,1955,Democrat
Ernest William McFarland,Arizona,1955,Democrat
Orval Eugene Faubus,Arkansas,1955,Democrat
Goodwin Jess Knight,California,1955,Republican
Edwin Carl Johnson,Colorado,1955,Democrat
Abraham Alexander Ribicoff,Connecticut,1955,Democrat
James Caleb Boggs,Delaware,1955,Republican
Thomas Leroy Collins,Florida,1955,Democrat
Samuel Marvin Griffin,Georgia,1955,Democrat
Robert E. Smylie,Idaho,1955,Republican
William Grant Stratton,Illinois,1955,Republican
George N. Craig,Indiana,1955,Republican
Leo Arthur Hoegh,Iowa,1955,Republican
Frederick Lee Hall,Kansas,1955,Republican
Albert Benjamin Chandler,Kentucky,1955,Democrat
Robert Floyd Kennon,Louisiana,1955,Democrat
Edmund Sixtus Muskie,Maine,1955,Democrat
Theodore Roosevelt McKeldin,Maryland,1955,Republican
Christian Archibald Herter,Massachusetts,1955,Republican
Gerhard Mennen Williams,Michigan,1955,Democrat
Orville Lothrop Freeman,Minnesota,1955,Democrat
Hugh Lawson White,Mississippi,1955,Democrat
Philip Matthew Donnelly,Missouri,1955,Democrat
John Hugo Aronson,Montana,1955,Republican
Victor Emanuel Anderson,Nebraska,1955,Republican
Charles Hinton Russell,Nevada,1955,Republican
Lane Dwinell,New Hampshire,1955,Republican
Robert Baumie Meyner,New Jersey,1955,Democrat
John Field Simms,New Mexico,1955,Democrat
William Averell Harriman,New York,1955,Democrat
Luther Hartwell Hodges,North Carolina,1955,Democrat
C. Norman Brunsdale,North Dakota,1955,Republican
Frank John Lausche,Ohio,1955,Democrat
Raymond Dancel Gary,Oklahoma,1955,Democrat
Paul Linton Patterson,Oregon,1955,Republican
George Michael Leader,Pennsylvania,1955,Democrat
Dennis Joseph Roberts,Rhode Island,1955,Democrat
George Bell Timmerman,South Carolina,1955,Democrat
Joseph Jacob Foss,South Dakota,1955,Republican
Frank Goad Clement,Tennessee,1955,Democrat
Allan Shivers,Texas,1955,Democrat
Joseph Bracken Lee,Utah,1955,Republican
Joseph Blaine Johnson,Vermont,1955,Republican
Thomas Bahnson Stanley,Virginia,1955,Democrat
Arthur B. Langlie,Washington,1955,Republican
William Casey Marland,West Virginia,1955,Democrat
Walter J. Kohler,Wisconsin,1955,Republican
Milward L. Simpson,Wyoming,1955,Republican
Seth Gordon Persons,Alabama,1954,Democrat
John Howard Pyle,Arizona,1954,Republican
Francis Adams Cherry,Arkansas,1954,Democrat
Goodwin Jess Knight,California,1954,Republican
Daniel Issac J. Thornton,Colorado,1954,Republican
John Davis Lodge,Connecticut,1954,Republican
James Caleb Boggs,Delaware,1954,Republican
Charley Eugene Johns,Florida,1954,Democrat
Herman Eugene Talmadge,Georgia,1954,Democrat
Leonard Beck Jordan,Idaho,1954,Republican
William Grant Stratton,Illinois,1954,Republican
George N. Craig,Indiana,1954,Republican
Leo Elthon,Iowa,1954,Republican
Edward Ferdinand Arn,Kansas,1954,Republican
Lawrence Winchester Wetherby,Kentucky,1954,Democrat
Robert Floyd Kennon,Louisiana,1954,Democrat
Burton Melvin Cross,Maine,1954,Republican
Theodore Roosevelt McKeldin,Maryland,1954,Republican
Christian Archibald Herter,Massachusetts,1954,Republican
Gerhard Mennen Williams,Michigan,1954,Democrat
Clyde Elmer Anderson,Minnesota,1954,Republican
Hugh Lawson White,Mississippi,1954,Democrat
Philip Matthew Donnelly,Missouri,1954,Democrat
John Hugo Aronson,Montana,1954,Republican
Robert Berkey Crosby,Nebraska,1954,Republican
Charles Hinton Russell,Nevada,1954,Republican
Hugh Gregg,New Hampshire,1954,Republican
Robert Baumie Meyner,New Jersey,1954,Democrat
Edwin Leard Mechem,New Mexico,1954,Republican
Thomas Edmund Dewey,New York,1954,Republican
Luther Hartwell Hodges,North Carolina,1954,Democrat
C. Norman Brunsdale,North Dakota,1954,Republican
Frank John Lausche,Ohio,1954,Democrat
Johnston Murray,Oklahoma,1954,Democrat
Paul Linton Patterson,Oregon,1954,Republican
John Sydney Fine,Pennsylvania,1954,Republican
Dennis Joseph Roberts,Rhode Island,1954,Democrat
James Francis Byrnes,South Carolina,1954,Democrat
Sigurd Anderson,South Dakota,1954,Republican
Frank Goad Clement,Tennessee,1954,Democrat
Allan Shivers,Texas,1954,Democrat
Joseph Bracken Lee,Utah,1954,Republican
Lee Emerson,Vermont,1954,Republican
Thomas Bahnson Stanley,Virginia,1954,Democrat
Arthur B. Langlie,Washington,1954,Republican
William Casey Marland,West Virginia,1954,Democrat
Walter J. Kohler,Wisconsin,1954,Republican
Clifford Joy Rogers,Wyoming,1954,Republican
Seth Gordon Persons,Alabama,1953,Democrat
John Howard Pyle,Arizona,1953,Republican
Francis Adams Cherry,Arkansas,1953,Democrat
Goodwin Jess Knight,California,1953,Republican
Daniel Issac J. Thornton,Colorado,1953,Republican
John Davis Lodge,Connecticut,1953,Republican
James Caleb Boggs,Delaware,1953,Republican
Charley Eugene Johns,Florida,1953,Democrat
Herman Eugene Talmadge,Georgia,1953,Democrat
Leonard Beck Jordan,Idaho,1953,Republican
William Grant Stratton,Illinois,1953,Republican
George N. Craig,Indiana,1953,Republican
William S. Beardsley,Iowa,1953,Republican
Edward Ferdinand Arn,Kansas,1953,Republican
Lawrence Winchester Wetherby,Kentucky,1953,Democrat
Robert Floyd Kennon,Louisiana,1953,Democrat
Burton Melvin Cross,Maine,1953,Republican
Theodore Roosevelt McKeldin,Maryland,1953,Republican
Christian Archibald Herter,Massachusetts,1953,Republican
Gerhard Mennen Williams,Michigan,1953,Democrat
Clyde Elmer Anderson,Minnesota,1953,Republican
Hugh Lawson White,Mississippi,1953,Democrat
Philip Matthew Donnelly,Missouri,1953,Democrat
John Hugo Aronson,Montana,1953,Republican
Robert Berkey Crosby,Nebraska,1953,Republican
Charles Hinton Russell,Nevada,1953,Republican
Hugh Gregg,New Hampshire,1953,Republican
Alfred Eastlack Driscoll,New Jersey,1953,Republican
Edwin Leard Mechem,New Mexico,1953,Republican
Thomas Edmund Dewey,New York,1953,Republican
William Bradley Umstead,North Carolina,1953,Democrat
C. Norman Brunsdale,North Dakota,1953,Republican
Frank John Lausche,Ohio,1953,Democrat
Johnston Murray,Oklahoma,1953,Democrat
Paul Linton Patterson,Oregon,1953,Republican
John Sydney Fine,Pennsylvania,1953,Republican
Dennis Joseph Roberts,Rhode Island,1953,Democrat
James Francis Byrnes,South Carolina,1953,Democrat
Sigurd Anderson,South Dakota,1953,Republican
Frank Goad Clement,Tennessee,1953,Democrat
Allan Shivers,Texas,1953,Democrat
Joseph Bracken Lee,Utah,1953,Republican
Lee Emerson,Vermont,1953,Republican
John Stewart Battle,Virginia,1953,Democrat
Arthur B. Langlie,Washington,1953,Republican
William Casey Marland,West Virginia,1953,Democrat
Walter J. Kohler,Wisconsin,1953,Republican
Clifford Joy Rogers,Wyoming,1953,Republican
Seth Gordon Persons,Alabama,1952,Democrat
John Howard Pyle,Arizona,1952,Republican
Sidney Sanders McMath,Arkansas,1952,Democrat
Earl Warren,California,1952,Republican
Daniel Issac J. Thornton,Colorado,1952,Republican
John Davis Lodge,Connecticut,1952,Republican
Elbert Nortrand Carvel,Delaware,1952,Democrat
Fuller Warren,Florida,1952,Democrat
Herman Eugene Talmadge,Georgia,1952,Democrat
Leonard Beck Jordan,Idaho,1952,Republican
Adlai Ewing Stevenson,Illinois,1952,Democrat
Henry Frederick Schricker,Indiana,1952,Democrat
William S. Beardsley,Iowa,1952,Republican
Edward Ferdinand Arn,Kansas,1952,Republican
Lawrence Winchester Wetherby,Kentucky,1952,Democrat
Robert Floyd Kennon,Louisiana,1952,Democrat
